location,division_rank
Switzerland,Country
Sichteren,namedPlace
Liestal,Second Order Division
Basel-Landschaft,First Order Division
Switzerland,Country
Quarry Röschenz,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Quarry near Röschenz,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Mönchalp,namedPlace
Klosters-Serneus,namedPlace
Grisons,namedPlace
Switzerland,Country
Alp digl Plaz,namedPlace
Tinizong-Rona,namedPlace
Grisons,namedPlace
Switzerland,Country
Quarry Leissigen,namedPlace
Bern,First Order Division
Switzerland,Country
Schutthalde Molybdängrube,namedPlace
Baltschiedertal,namedPlace
Baltschieder,namedPlace
Valais,First Order Division
Switzerland,Country
Rotlauitobel,namedPlace
Guttannen,namedPlace
Bern,First Order Division
Switzerland,Country
Passo di Verra (Zwillingsjoch),namedPlace
Zermatt,namedPlace
Valais,First Order Division
Switzerland,Country
Moräne Oberer Theodulgetscher,namedPlace
Zermatt,namedPlace
Valais,First Order Division
Switzerland,Country
Kraftwerk Fiesch,namedPlace
Fiesch,namedPlace
Valais,First Order Division
Switzerland,Country
Grat zwischen Gischihorn und Scherbadung (Pizzo Cervandone),namedPlace
Binn,namedPlace
Valais,First Order Division
Switzerland,Country
Fleschalp,namedPlace
Binn,namedPlace
Valais,First Order Division
Switzerland,Country
Bortelhorn,namedPlace
Ried-Brig,namedPlace
Valais,First Order Division
Switzerland,Country
Binnergale (Alp Galen),namedPlace
Binn,namedPlace
Valais,First Order Division
Switzerland,Country
Meiggertal (Meiggerental),namedPlace
Saas Almagell,namedPlace
Valais,First Order Division
Switzerland,Country
Hörnliwald,namedPlace
Riehen,Second Order Division
Basel-Stadt,First Order Division
Switzerland,Country
Schinpass,namedPlace
Vaz/Obervaz,namedPlace
Grisons,namedPlace
Switzerland,Country
Glatscher dallas Tuors,namedPlace
Medel (Lucmagn),namedPlace
Grisons,namedPlace
Switzerland,Country
Wehr,namedPlace
Waldshut,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Diefental,namedPlace
Germany,Country
Tüllingen,namedPlace
Lörrach,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Koli,namedPlace
Finland,Country
St. Columb,namedPlace
Cornwall,First Order Division
United Kingdom,Country
Wolfstein,namedPlace
Pfalz,namedPlace
Germany,Country
Kalilager Buggingen,namedPlace
Müllheim,namedPlace
Freiburg,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Niederkirchen,namedPlace
West-Pfalz,namedPlace
Germany,Country
Pozzuoli,namedPlace
Napoli,First Order Division
Italy,Country
Germany (West Germany),Country
Hesselbach,namedPlace
Oberkirch,namedPlace
Offenburg,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Okelampton,namedPlace
Devonshire,First Order Division
United Kingdom,Country
Schwarzberg,namedPlace
Saas Almagell,namedPlace
Valais,First Order Division
Switzerland,Country
Perran,namedPlace
St. Georgis,namedPlace
Cornwall,First Order Division
United Kingdom,Country
Eg,namedPlace
Denmark,Country
Mine Sachtleben,namedPlace
Wolfach,namedPlace
Offenburg,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Ruschberg near Idar-Oberstein an der Nahe,namedPlace
Germany,Country
Niederkirchheim,namedPlace
Germany,Country
St. Hilary,namedPlace
Cornwall,First Order Division
United Kingdom,Country
St. Stephan,namedPlace
Cornwall,First Order Division
United Kingdom,Country
Kridenloch,namedPlace
Schächental,namedPlace
Unterschächen,namedPlace
Uri,First Order Division
Switzerland,Country
Pechgrube,namedPlace
Röschenz,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Ghiacciaio di Lucendro (Lucendrogletscher),namedPlace
Airolo,namedPlace
Ticino,First Order Division
Switzerland,Country
Ritzlital,namedPlace
Guttannen,namedPlace
Bern,First Order Division
Switzerland,Country
Greinapass/Passo della Greina,namedPlace
Vrin,namedPlace
Grisons,namedPlace
Switzerland,Country
Ofenhorn,namedPlace
Binntal,namedPlace
Valais,First Order Division
Switzerland,Country
Kistenpass,namedPlace
Breil/Brigels,namedPlace
Grisons,namedPlace
Switzerland,Country
untere Schyn/Schin,namedPlace
Vaz/Obervaz,namedPlace
Grisons,namedPlace
Switzerland,Country
Torri del Vannino,namedPlace
Valdo,namedPlace
Verbano-Cusio-Ossola,First Order Division
Italy,Country
Naters,namedPlace
Valais,First Order Division
Switzerland,Country
Connecticut-River,namedPlace
USA,Second Order Division
Brändli,namedPlace
Alt St. Johann,namedPlace
St. Gallen,namedPlace
Switzerland,Country
Chilchzimmer,namedPlace
Langenbruck,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Griessen near Tiengen,namedPlace
Waldshut,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Weinberg,namedPlace
Eifel,namedPlace
Rheinland,namedPlace
Germany,Country
Sattelberg,namedPlace
Eifel,namedPlace
Rheinland,namedPlace
Germany,Country
Mine Daniel,namedPlace
Gallenbachtal,namedPlace
Wittichen,namedPlace
Freudenstadt,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Tsumeb Mine,namedPlace
Namibia,Country
Poopo,Second Order Division
Bolivia,Second Order Division
Bolanos,Second Order Division
Jalisco,First Order Division
Mexico,Country
Heazlewood-River,namedPlace
Island Tasmania,namedPlace
Australia,Country
Montschegorsk,namedPlace
Halbinsel Kola,namedPlace
USSR,namedPlace
Sahla,namedPlace
Westmanland,namedPlace
Sweden,Country
Avena Nezike,namedPlace
Sweden,Country
Mine Herja,namedPlace
Baja Mare,namedPlace
Transylvania,Second Order Division
Romania (Kisbanya near Cluj,namedPlace
Hungary),namedPlace
Maria Loretto Mine,namedPlace
Transylvania,Second Order Division
Romania,Country
Mine Grünau,namedPlace
Siegerland,namedPlace
Westfalen,namedPlace
Germany,Country
Müsen,namedPlace
Siegerland,namedPlace
Westfalen,namedPlace
Germany,Country
Erdöbenye,namedPlace
Hungary,Country
Römerstollen near Abfaltersbach,namedPlace
Austria,Country
Bhunas,namedPlace
Rajasthan,First Order Division
India,Country
Barfüsserkirche,namedPlace
Basel,Second Order Division
Basel-Stadt,First Order Division
Switzerland,Country
Schutthalde Furka-Basistunnel,namedPlace
Oberwald,namedPlace
Valais,First Order Division
Switzerland,Country
Monte Bianco,namedPlace
Lodrino,namedPlace
Ticino,First Order Division
Switzerland,Country
Cernay,namedPlace
Thann,namedPlace
Haut-Rhin,First Order Division
France,Country
Hégenheim (Hegenheim),namedPlace
Saint-Louis,First Order Division
Haut-Rhin,First Order Division
France,Country
San Miguel di Piracicaba,namedPlace
Minas Gerais,First Order Division
Brazil,Country
Bou Azzer,namedPlace
Morocco,Country
Ajo,namedPlace
Arizona,First Order Division
USA,Second Order Division
Bikita,Second Order Division
Namibia,Country
Maevatana,namedPlace
Madagascar,Country
Grünenberg,namedPlace
Silesia,namedPlace
Poland,Country
Kassandra,namedPlace
Greece,Country
Rans,namedPlace
Sevelen,namedPlace
St. Gallen,namedPlace
Switzerland,Country
Balmeregghorn,namedPlace
Hasliberg,namedPlace
Bern,First Order Division
Switzerland,Country
Caslano,namedPlace
Ticino,First Order Division
Switzerland,Country
Riale Vallone near Besano,namedPlace
Varese,First Order Division
Italy,Country
Le Bévieux,namedPlace
Bex,namedPlace
Vaud,First Order Division
Switzerland,Country
Le Châtel,namedPlace
Bex,namedPlace
Vaud,First Order Division
Switzerland,Country
Tödigebiet,namedPlace
Glarus,First Order Division
Switzerland,Country
Lierbach,namedPlace
Oppenau,namedPlace
Baden,Second Order Division
Germany,Country
Island Rügen,namedPlace
Ostsee,namedPlace
Germany,Country
Lerbach,namedPlace
Harz,Second Order Division
Germany,Country
Schweningen,namedPlace
Germany,Country
Kaltenberg,namedPlace
Oberems,namedPlace
Valais,First Order Division
Switzerland,Country
Mont Chemin,namedPlace
Vollèges,namedPlace
Valais,First Order Division
Switzerland,Country
Jumilla,namedPlace
Alicante,First Order Division
Spain,Country
Steckberg,namedPlace
Amt Geheren,namedPlace
Ilmenau,namedPlace
Thuringia,namedPlace
Germany,Country
Kladno,First Order Division
Czechoslovakia,namedPlace
Diamantina,Second Order Division
Brazil,Country
Strigan,namedPlace
Poland,Country
Calmut (Val Strem),namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Lago della Sella,namedPlace
Airolo,namedPlace
Ticino,First Order Division
Switzerland,Country
Buggingen,namedPlace
Ober-Baden,namedPlace
Germany,Country
Arsch,namedPlace
Oberwald,namedPlace
Valais,First Order Division
Switzerland,Country
Schwarzenstedt,namedPlace
Germany,Country
Orberg,namedPlace
Kaiserstuhl,namedPlace
Norra Kärr near Granne,namedPlace
Smäland,namedPlace
Sweden,Country
Slick Rock,namedPlace
Colorado,First Order Division
USA,Second Order Division
Mont Semiol,namedPlace
Montbrison,namedPlace
Auvergne,First Order Division
France,Country
Schmiedestollenhalde,namedPlace
Wittichen,namedPlace
Freudenstadt,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Sjögruvan,namedPlace
Sweden,Country
Harstygen,namedPlace
Värmland,namedPlace
Sweden,Country
Sörläzäs,namedPlace
Ultevis,namedPlace
Sweden,Country
Stollberg,namedPlace
Sweden,Country
Krantzberg,namedPlace
Namibia,Country
Namib-Wüste,namedPlace
Namibia,Country
Pöhla,namedPlace
Erzgebirge,namedPlace
(Germany od. Czechoslovakia),namedPlace
Tachgagalt,namedPlace
Morocco,Country
Kamoriza near Laurion,namedPlace
Greece,Country
Vertaizon,namedPlace
Auvergne,First Order Division
France,Country
Fontana Rossa near Ghisoni,namedPlace
Corse (Korsika),First Order Division
France,Country
St. Lyphard,namedPlace
Loire Atlantique,namedPlace
France,Country
Xichu,Second Order Division
Chihuahua,First Order Division
Mexico,Country
Searles Lake,namedPlace
California,First Order Division
USA,Second Order Division
Westvaco near Green River,namedPlace
Wyoming,First Order Division
USA,Second Order Division
Boron,namedPlace
Kern Cty,namedPlace
California,First Order Division
USA,Second Order Division
Quarry Kinnwald,namedPlace
Tegernau,namedPlace
Schopfheim,namedPlace
Lörrach,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Dürnstein near Friesach,namedPlace
Steiermark,First Order Division
Austria,Country
Korretsberg,namedPlace
Eifel,namedPlace
Rheinland,namedPlace
Germany,Country
Hauzenberg,namedPlace
Ost-Bayern,namedPlace
Germany,Country
Island Sandöya,namedPlace
Langesund,namedPlace
Norway,Country
Brunsjögruvan,namedPlace
Sweden,Country
Gjerdingen,namedPlace
Nordmarka,namedPlace
Norway,Country
Horrsjöberget,namedPlace
Värmland,namedPlace
Sweden,Country
Storgangen,namedPlace
Sogndal in Rogaland,namedPlace
Norway,Country
Bamble,Second Order Division
Telemark,First Order Division
Norway,Country
Oe Moland near Arendal,namedPlace
Modum,Second Order Division
Norway,Country
Öedegarten,namedPlace
Bamble,Second Order Division
Telemark,First Order Division
Norway,Country
Furka-Basistunnel,namedPlace
Oberwald,namedPlace
Valais,First Order Division
Switzerland,Country
Oristal,namedPlace
Liestal,Second Order Division
Basel-Landschaft,First Order Division
Switzerland,Country
Büsserach,namedPlace
Solothurn,First Order Division
Switzerland,Country
Löwenburg,namedPlace
Pleigne,namedPlace
Jura,First Order Division
Switzerland,Country
Pass Diesrut,namedPlace
Vrin,namedPlace
Grisons,namedPlace
Switzerland,Country
Mine Coronel Murta,namedPlace
Minas Gerais,First Order Division
Brazil,Country
Monti di Gorduno,namedPlace
Gorduno,namedPlace
Ticino,First Order Division
Switzerland,Country
La Crettaz inférieur,namedPlace
Mont Chemin,namedPlace
Vollèges,namedPlace
Valais,First Order Division
Switzerland,Country
Col de Milon,namedPlace
Ayer,namedPlace
Valais,First Order Division
Switzerland,Country
Tête des Econduits,namedPlace
Mont Chemin,namedPlace
Vollèges,namedPlace
Valais,First Order Division
Switzerland,Country
Quarry Clef,namedPlace
Poschiavo,namedPlace
Grisons,namedPlace
Switzerland,Country
Vadrec da l'Albigna,namedPlace
Vicosoprano,namedPlace
Grisons,namedPlace
Switzerland,Country
Mine des Moulins,namedPlace
Saint-Luc,namedPlace
Valais,First Order Division
Switzerland,Country
Salzminen von Bex,namedPlace
Vaud,First Order Division
Switzerland,Country
Bella Tola,namedPlace
Saint-Luc,namedPlace
Valais,First Order Division
Switzerland,Country
Mine Plantorin,namedPlace
Oberems,namedPlace
Valais,First Order Division
Switzerland,Country
Mine de Cruitaz,namedPlace
Mottec,namedPlace
Ayer,namedPlace
Valais,First Order Division
Switzerland,Country
Bruneggjoch,namedPlace
St. Niklaus,namedPlace
Valais,First Order Division
Switzerland,Country
Moräne Vadrec del Forno (Fornogletscher),namedPlace
Stampa,namedPlace
Grisons,namedPlace
Switzerland,Country
Chez Larze I,namedPlace
Mont Chemin,namedPlace
Vollèges,namedPlace
Valais,First Order Division
Switzerland,Country
Mine Collioux inférieur,namedPlace
Saint-Luc,namedPlace
Valais,First Order Division
Switzerland,Country
Pipji,namedPlace
Oberems,namedPlace
Valais,First Order Division
Switzerland,Country
Chez Larze,namedPlace
Mont Chemin,namedPlace
Vollèges,namedPlace
Valais,First Order Division
Switzerland,Country
Chandolin,namedPlace
Valais,First Order Division
Switzerland,Country
Mine de Barma,namedPlace
Saint-Luc,namedPlace
Valais,First Order Division
Switzerland,Country
Roche Rouge,namedPlace
Leysin,namedPlace
Vaud,First Order Division
Switzerland,Country
La Creusaz,namedPlace
Les Marécottes,namedPlace
Salvan,namedPlace
Valais,First Order Division
Switzerland,Country
Küferalp,namedPlace
Leuk,Second Order Division
Valais,First Order Division
Switzerland,Country
Sur Frête,namedPlace
Mont Chemin,namedPlace
Vollèges,namedPlace
Valais,First Order Division
Switzerland,Country
Moräne Turtmanngletscher,namedPlace
Oberems,namedPlace
Valais,First Order Division
Switzerland,Country
Fôret de Lâche,namedPlace
Saint-Luc,namedPlace
Valais,First Order Division
Switzerland,Country
Glacier de Pièce,namedPlace
Evolène,namedPlace
Valais,First Order Division
Switzerland,Country
Schmorrasgrat,namedPlace
Rioms-Parsonz,namedPlace
Grisons,namedPlace
Switzerland,Country
Litzirüti,namedPlace
Langwies,namedPlace
Grisons,namedPlace
Switzerland,Country
Rote Platten Schröterwiti,namedPlace
Peist,namedPlace
Grisons,namedPlace
Switzerland,Country
Silenen,namedPlace
Uri,First Order Division
Switzerland,Country
Gotschnatunnel,namedPlace
Klosters,namedPlace
Grisons,namedPlace
Switzerland,Country
Cluj (Klausenberg),First Order Division
Transylvania,Second Order Division
Romania,Country
Minas del Cofre de Perote,namedPlace
Jalappa,namedPlace
Veracruz,First Order Division
Mexico,Country
Mine Fianell,namedPlace
Ausserferrera,namedPlace
Grisons,namedPlace
Switzerland,Country
Gorkha (Gurkha),namedPlace
Gandaki Zone,namedPlace
Nepal,Country
Saranovskii Mine,namedPlace
Saranovsakya (Saranje,namedPlace
Sarany),namedPlace
Gorozavod,namedPlace
Permskaya Oblast,namedPlace
Ural,namedPlace
Russia,namedPlace
Erzmatte near Balsthal,namedPlace
Solothurn,First Order Division
Switzerland,Country
Communance,namedPlace
Delémont,Second Order Division
Jura,First Order Division
Switzerland,Country
Cave del Piombo,namedPlace
Campiglia Marittima,namedPlace
Italy,Country
Ballèe,namedPlace
Neste de Laurion,namedPlace
Greece,Country
Mine von Cananea,namedPlace
Sonora,First Order Division
Mexico,Country
Acquarossa,namedPlace
Leontica,namedPlace
Ticino,First Order Division
Switzerland,Country
Bifertenalpeli,namedPlace
Linthal,namedPlace
Glarus,First Order Division
Switzerland,Country
Asbestos,Second Order Division
Quebec,First Order Division
Canada,Country
Wassonis Bluff,namedPlace
Nova Scotia,First Order Division
Canada,Country
La Motte,namedPlace
Quebec,First Order Division
Canada,Country
Cove,Second Order Division
Arkansas,First Order Division
USA,Second Order Division
Val Soi (Val Soja),namedPlace
Aquila,Second Order Division
Ticino,First Order Division
Switzerland,Country
Colma,namedPlace
Aquila,Second Order Division
Ticino,First Order Division
Switzerland,Country
Trimbach near Olten,namedPlace
Solothurn,First Order Division
Switzerland,Country
Leukerbad,namedPlace
Valais,First Order Division
Switzerland,Country
Schwarzhorn/Punta Marani,namedPlace
Binn,namedPlace
Valais,First Order Division
Switzerland,Country
Deloro Township,namedPlace
Ontario,First Order Division
Canada,Country
Columbian Mine,namedPlace
Oka,namedPlace
Quebec,First Order Division
Canada,Country
Sudbury,Second Order Division
Ontario,First Order Division
Canada,Country
Lyndoch,namedPlace
Canada,Country
St. Eustache,namedPlace
Canada,Country
Cadillac,namedPlace
Canada,Country
Silver Crater Mine,namedPlace
Bancroft,namedPlace
Ontario,First Order Division
Canada,Country
Lyndoch Township,namedPlace
Canada,Country
Bay of Fundy,namedPlace
Nova Scotia,First Order Division
Canada,Country
Lyndhurst,namedPlace
Ontario,First Order Division
Canada,Country
Colborne,namedPlace
Ontario,First Order Division
Canada,Country
Deloro,namedPlace
Ontario,First Order Division
Canada,Country
Peacerdell,namedPlace
British Columbia,First Order Division
Canada,Country
Newry,namedPlace
Maine,First Order Division
USA,Second Order Division
Elliot,namedPlace
Lake Ontario,Second Order Division
Canada,Country
Strathona Mine,namedPlace
Sudbury,Second Order Division
Ontario,First Order Division
Canada,Country
Oka,namedPlace
Quebec,First Order Division
Canada,Country
Pierrepont,namedPlace
New York,First Order Division
USA,Second Order Division
François Lake,namedPlace
British Columbia,First Order Division
Canada,Country
Bird's Creek,namedPlace
Ontario,First Order Division
Canada,Country
Glen Lake Mine,namedPlace
Cobalt,namedPlace
Ontario,First Order Division
Canada,Country
Vermillion Mine,namedPlace
Sudbury,Second Order Division
Ontario,First Order Division
Canada,Country
Mine Les Trappistes,namedPlace
Mont Chemin,namedPlace
Vollèges,namedPlace
Valais,First Order Division
Switzerland,Country
Mine Chez Larze,namedPlace
Mont Chemin,namedPlace
Vollèges,namedPlace
Valais,First Order Division
Switzerland,Country
Pochwerk Senntum,namedPlace
Oberems,namedPlace
Valais,First Order Division
Switzerland,Country
Grimentz,namedPlace
Valais,First Order Division
Switzerland,Country
Mine Viver,namedPlace
Obersaxen,namedPlace
Grisons,namedPlace
Switzerland,Country
Mine Comtesse,namedPlace
Praz-Jean,namedPlace
Saint-Martin,First Order Division
Valais,First Order Division
Switzerland,Country
Sondierstollen Chalttal,namedPlace
Obstalden,namedPlace
Glarus,First Order Division
Switzerland,Country
Mine Viver,namedPlace
Obersaxen,namedPlace
Switzerland,Country
Hotel Belvédère,namedPlace
Oberwald,namedPlace
Valais,First Order Division
Switzerland,Country
Muttgletscher,namedPlace
Oberwald,namedPlace
Valais,First Order Division
Switzerland,Country
Vintirov,namedPlace
Westböhmen,namedPlace
Czechoslovakia,namedPlace
Quarry Ghisletta,namedPlace
Lodrino,namedPlace
Ticino,First Order Division
Switzerland,Country
Ziegelei Keller,namedPlace
Frick,namedPlace
Aargau,First Order Division
Switzerland,Country
Mine Sitzenkirch,namedPlace
Sehringen,namedPlace
Badenweiler,namedPlace
Freiburg,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Tizi'n,namedPlace
Titchka,namedPlace
Morocco,Country
Wrangel,namedPlace
Alaska,First Order Division
USA,Second Order Division
Garvera,namedPlace
Sumvitg,namedPlace
Grisons,namedPlace
Switzerland,Country
Bächital,namedPlace
Reckingen,namedPlace
Valais,First Order Division
Switzerland,Country
Platta,namedPlace
Medel (Lucmagn),namedPlace
Grisons,namedPlace
Switzerland,Country
Cuflon,namedPlace
Disentis/Mustèr,namedPlace
Grisons,namedPlace
Switzerland,Country
Alpe di Luzzone (Val Luzzone),namedPlace
Malvaglia,namedPlace
Ticino,First Order Division
Switzerland,Country
Cadagno di Dentro,namedPlace
Quinto,namedPlace
Ticino,First Order Division
Switzerland,Country
Monti di Vif,namedPlace
Roveredo,namedPlace
Grisons,namedPlace
Switzerland,Country
Rhoneufer near Mündung Mundbach,namedPlace
Mund,namedPlace
Valais,First Order Division
Switzerland,Country
Valsertal,namedPlace
Vals,namedPlace
Grisons,namedPlace
Switzerland,Country
Affeier (Viver),namedPlace
Obersaxen,namedPlace
Grisons,namedPlace
Switzerland,Country
Fenster near Ronco,namedPlace
Furka-Basistunnel,namedPlace
Ticino,First Order Division
Switzerland,Country
Iguassu-Wasserfälle,namedPlace
Brazil,Country
Wergenstein,namedPlace
Grisons,namedPlace
Switzerland,Country
Trepca,namedPlace
Yugoslavia,namedPlace
Jujurieux,namedPlace
France,Country
Valle del Sacro Monte,namedPlace
Brissago,namedPlace
Ticino,First Order Division
Switzerland,Country
Egginer,namedPlace
Saas Almagell,namedPlace
Valais,First Order Division
Switzerland,Country
Laurion,namedPlace
Attika,namedPlace
Greece,Country
Nordhang,namedPlace
Albrunhorn,namedPlace
Binn,namedPlace
Valais,First Order Division
Switzerland,Country
Mässerbach near Lengenbach,namedPlace
Binn,namedPlace
Valais,First Order Division
Switzerland,Country
Quarry Poligiros,namedPlace
Greece,Country
Skelett Grab,namedPlace
Ausgrabung in der Predigerkirche,namedPlace
Basel-Stadt,First Order Division
Switzerland,Country
Balmes,namedPlace
Savoyen,namedPlace
France,Country
Quarry Zingel,namedPlace
Seewen,namedPlace
Schwyz,First Order Division
Schwyz,First Order Division
Switzerland,Country
Kaistenberg,namedPlace
Aargau,First Order Division
Switzerland,Country
Munifeld,namedPlace
Nuglar-St. Pantaleon,namedPlace
Solothurn,First Order Division
Switzerland,Country
Mönthal,namedPlace
Aargau,First Order Division
Switzerland,Country
Runal,namedPlace
Mathon,namedPlace
Grisons,namedPlace
Switzerland,Country
Rettigheim,namedPlace
Baden,Second Order Division
Germany,Country
Mederbode (Innerwängsboden),namedPlace
Ausserberg,namedPlace
Valais,First Order Division
Switzerland,Country
east of Piz Beverin,namedPlace
Mathon,namedPlace
Grisons,namedPlace
Switzerland,Country
Grappnerstein,namedPlace
Tamins,namedPlace
Grisons,namedPlace
Switzerland,Country
Gründenwald,namedPlace
St. Ulrich,namedPlace
Freiburg,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Trimbach,namedPlace
Solothurn,First Order Division
Switzerland,Country
obere Tongrube,namedPlace
Hauenstein-Ifenthal,namedPlace
Solothurn,First Order Division
Switzerland,Country
von Binn Richtung Albrunpass,namedPlace
Binn,namedPlace
Valais,First Order Division
Switzerland,Country
Val Bregaglia (Bergell),namedPlace
Vicosoprano,namedPlace
Grisons,namedPlace
Switzerland,Country
Tagbau 60 - 70 m,namedPlace
Hagendorf-Süd,namedPlace
Oberpfalz,namedPlace
Germany,Country
Tvedalen,namedPlace
Langesundfjord,namedPlace
Norway,Country
Erongogebirge,namedPlace
Namibia,Country
Chillagoe,namedPlace
Queensland,First Order Division
Australia,Country
Mine Berlepsch,namedPlace
Stassfurt,namedPlace
Magdeburg,Second Order Division
Germany,Country
Trontano,namedPlace
Verbano-Cusio-Ossola,First Order Division
Italy,Country
Vallerano,namedPlace
Rom,namedPlace
Italy,Country
Castello Rupe di Aci,namedPlace
Calabria,First Order Division
Italy,Country
Kambalda,namedPlace
Australia,Country
Talmessi,namedPlace
Iran,namedPlace
Dufresne Hill,namedPlace
Latrappe Vill.,namedPlace
Quebec,First Order Division
Canada,Country
Visé,namedPlace
Belgium,Country
Wickenburg,namedPlace
Potter Claim,namedPlace
Arizona,First Order Division
USA,Second Order Division
Monte Civillina,namedPlace
Vicenza,First Order Division
Italy,Country
Cascade,First Order Division
Lake Keene,namedPlace
New York,First Order Division
USA,Second Order Division
Nardo,namedPlace
Brescia,First Order Division
Italy,Country
Val Posina,namedPlace
Vicenza,First Order Division
Italy,Country
Torrente Scoltenna,namedPlace
Modena,First Order Division
Italy,Country
Bov Skour,namedPlace
Morocco,Country
Crystal Bay,namedPlace
Minnesota,First Order Division
USA,Second Order Division
Ca' dei Ladri,namedPlace
Bologna,First Order Division
Italy,Country
Orli Fassa,namedPlace
Alpe di Siusi,namedPlace
Italy,Country
Grandview Mine,namedPlace
Grand Canyon,namedPlace
Coconino County,namedPlace
Arizona,First Order Division
USA,Second Order Division
Gold Hill,namedPlace
Tooele County,namedPlace
Utah,First Order Division
USA,Second Order Division
Darvazeh,namedPlace
Isfahan,namedPlace
Iran,namedPlace
Vendrogno,namedPlace
Como,First Order Division
Italy,Country
San Venanzo,namedPlace
Italy,Country
Plat Erje,namedPlace
Norway,Country
Laagendalen,namedPlace
Norway,Country
Le Cetine,namedPlace
Siena,First Order Division
Italy,Country
Pyöränmaa,namedPlace
Finland,Country
Horrsjäberget,namedPlace
Värmland,namedPlace
Sweden,Country
Kerch,namedPlace
Ukraine,Country
Monte Formella,namedPlace
Campagno,namedPlace
Italy,Country
Angers,namedPlace
France,Country
La Bessade,namedPlace
France,Country
Persberg,namedPlace
Sweden,Country
Pyöronmaa,namedPlace
Finland,Country
Laytonville,namedPlace
Mendocino County,namedPlace
California,First Order Division
USA,Second Order Division
Baccano,namedPlace
Lago di Braggiono,namedPlace
Italy,Country
Ariccia,namedPlace
Colli Albani near Rom,namedPlace
Italy,Country
Vestana,namedPlace
Sweden,Country
Vallone della Collonata,namedPlace
Italy,Country
Monti Monzoni,namedPlace
Trento,First Order Division
Italy,Country
La Faye,namedPlace
France,Country
Sörhäräs,namedPlace
Ultevis,namedPlace
Sweden,Country
Kaatiala,namedPlace
Finland,Country
Val d'Astico,namedPlace
Vicenza,First Order Division
Italy,Country
Libiola,namedPlace
Genova,First Order Division
Liguria,First Order Division
Italy,Country
Stallberg,namedPlace
Sweden,Country
Le Beauvoir near Les Colettes,namedPlace
Alliers,namedPlace
France,Country
Iwate-Ken,namedPlace
Honshu,namedPlace
Japan,Country
Richelle,namedPlace
Belgium,Country
Emet,Second Order Division
Turkey,Country
Alpe Machetto,namedPlace
Biella,First Order Division
Italy,Country
La Nizzière,namedPlace
France,Country
Kanariza,namedPlace
Laurion,namedPlace
Greece,Country
Takap,namedPlace
Iran,namedPlace
Orciatico,namedPlace
Pisa,First Order Division
Italy,Country
Laghetto,namedPlace
Rom,namedPlace
Italy,Country
Briantskwa,namedPlace
USSR,namedPlace
Graphit Albert Mine,namedPlace
USSR,namedPlace
Hohentwiel,namedPlace
Hegau,namedPlace
Germany,Country
Crazy Lace,namedPlace
Mexico,Country
Idar-Oberstein,namedPlace
Rhineland-Palatinate,namedPlace
Germany,Country
aus dem Orient,namedPlace
Orient,namedPlace
Brescia,First Order Division
Italy,Country
Pikes Peak,namedPlace
Arizona,First Order Division
USA,Second Order Division
Baikal,namedPlace
Siberien,namedPlace
Russia,namedPlace
Neyshabur,Second Order Division
Iran,namedPlace
Montfort-Gipfel,namedPlace
Strasse Ditro-Putna,namedPlace
Morsum Kliff,namedPlace
Island Sylt,namedPlace
Nordsee,namedPlace
Germany,Country
Ullrichsreuth,namedPlace
Voigtland,namedPlace
Germany,Country
PS 1094,namedPlace
Merryvale Quarry,namedPlace
Devon,First Order Division
United Kingdom,Country
Mine Rossdorf,namedPlace
Darmstadt,Second Order Division
Germany,Country
Odenwald,namedPlace
Darmstadt,Second Order Division
Germany,Country
Halle,namedPlace
Thuringia,namedPlace
Germany,Country
Schrattenfluh,namedPlace
Flühli,namedPlace
Lucerne,namedPlace
Switzerland,Country
La Scheulte,namedPlace
Courroux,namedPlace
Jura,First Order Division
Switzerland,Country
Hohenwald,namedPlace
Odenwald,namedPlace
Germany,Country
Glitzersteinhöhle,namedPlace
Ramstel,namedPlace
Gempen,namedPlace
Solothurn,First Order Division
Switzerland,Country
Rheinhardsbrunn,namedPlace
Germany,Country
Hällesta,namedPlace
Sweden,Country
Huppergrube in Münster,namedPlace
Germany,Country
Emmental,namedPlace
Bern,First Order Division
Switzerland,Country
Aosta,First Order Division
Italy,Country
Münsterappel,namedPlace
Germany,Country
Tagbau Wabana,namedPlace
Belle Isle,namedPlace
Newfoundland,namedPlace
Canada,Country
Portoferraio,namedPlace
Island Elba,namedPlace
Italy,Country
Ladève,namedPlace
Hérault,First Order Division
